id,employee ID,clock_in,clock_out,date
1,1,8:07,18:23,2025-07-22
2,2,8:01,18:05,2025-07-22
3,3,10:06,17:47,2025-07-22
4,4,10:57,18:17,2025-07-22
5,5,9:13,17:13,2025-07-22
6,6,10:39,17:46,2025-07-22
7,7,7:47,17:29,2025-07-22
8,8,7:51,17:12,2025-07-22
9,9,7:28,17:35,2025-07-22
10,10,10:31,18:22,2025-07-22
11,11,9:09,17:58,2025-07-22
12,12,7:13,17:05,2025-07-22
13,13,10:13,18:05,2025-07-22
14,14,8:22,17:20,2025-07-22
15,15,7:35,17:12,2025-07-22
16,16,8:36,16:57,2025-07-22
17,17,7:39,17:38,2025-07-22
18,18,9:55,18:09,2025-07-22
19,19,9:18,18:24,2025-07-22
20,20,10:53,17:47,2025-07-22
21,21,9:31,17:35,2025-07-22
22,22,7:31,16:58,2025-07-22
23,23,7:46,18:34,2025-07-22
24,24,7:21,17:33,2025-07-22
25,25,9:50,18:02,2025-07-22
26,26,7:01,18:30,2025-07-22
27,27,8:15,17:49,2025-07-22
28,28,9:49,17:40,2025-07-22
29,29,7:27,17:37,2025-07-22
30,30,7:37,17:32,2025-07-22
31,31,9:44,18:00,2025-07-22
32,32,7:51,17:15,2025-07-22
33,33,8:05,18:05,2025-07-22
34,34,10:07,18:18,2025-07-22
35,35,9:52,17:39,2025-07-22
36,36,10:58,18:25,2025-07-22
37,37,9:55,17:35,2025-07-22
38,38,7:09,17:26,2025-07-22
39,39,10:12,18:09,2025-07-22
40,40,8:06,17:06,2025-07-22
41,41,7:37,17:55,2025-07-22
42,42,10:17,17:50,2025-07-22
43,43,7:26,18:02,2025-07-22
44,44,10:14,18:39,2025-07-22
45,45,10:05,17:16,2025-07-22
46,46,10:14,18:43,2025-07-22
47,47,10:28,18:36,2025-07-22
48,48,10:46,17:28,2025-07-22
49,49,7:15,18:16,2025-07-22
50,50,7:31,16:58,2025-07-22
51,51,8:12,17:06,2025-07-22
52,52,7:25,16:58,2025-07-22
53,53,7:10,17:57,2025-07-22
54,54,10:13,17:48,2025-07-22
55,55,10:55,17:46,2025-07-22
56,56,10:33,18:37,2025-07-22
57,57,7:33,17:08,2025-07-22
58,58,8:16,17:33,2025-07-22
59,59,10:52,18:28,2025-07-22
60,60,9:37,17:10,2025-07-22
61,61,7:15,17:58,2025-07-22
62,62,9:47,18:22,2025-07-22
63,63,10:57,17:38,2025-07-22
64,64,7:56,17:21,2025-07-22
65,65,10:03,18:40,2025-07-22
66,66,9:15,16:57,2025-07-22
67,67,10:47,17:35,2025-07-22
68,68,7:32,18:24,2025-07-22
69,69,10:18,17:45,2025-07-22
70,70,8:12,18:09,2025-07-22
71,71,9:50,17:32,2025-07-22
72,72,10:28,18:00,2025-07-22
73,73,7:03,17:29,2025-07-22
74,74,10:28,17:56,2025-07-22
75,75,9:35,17:53,2025-07-22
76,76,10:26,17:32,2025-07-22
77,77,7:17,17:39,2025-07-22
78,78,7:16,17:43,2025-07-22
79,79,7:24,17:02,2025-07-22
80,80,10:47,17:23,2025-07-22
81,81,10:38,17:46,2025-07-22
82,82,7:31,16:55,2025-07-22
83,83,7:11,18:10,2025-07-22
84,84,7:04,18:17,2025-07-22
85,85,7:52,18:37,2025-07-22
86,86,9:04,17:47,2025-07-22
87,87,8:02,18:01,2025-07-22
88,88,10:16,18:06,2025-07-22
89,89,8:20,18:42,2025-07-22
90,90,8:01,18:11,2025-07-22
91,91,9:35,17:54,2025-07-22
92,92,10:28,17:23,2025-07-22
93,93,10:34,18:12,2025-07-22
94,94,10:45,18:15,2025-07-22
95,95,8:04,18:17,2025-07-22
96,96,8:43,17:52,2025-07-22
97,97,9:01,17:51,2025-07-22
98,98,9:44,18:03,2025-07-22
99,99,7:54,17:22,2025-07-22
100,100,7:29,17:35,2025-07-22
101,101,7:58,17:10,2025-07-22
102,102,10:31,18:19,2025-07-22
103,103,10:43,18:13,2025-07-22
104,104,9:04,18:31,2025-07-22
105,105,7:54,17:17,2025-07-22
106,106,9:37,17:41,2025-07-22
107,107,8:09,17:23,2025-07-22
108,108,7:50,18:28,2025-07-22
109,109,8:45,18:38,2025-07-22
110,110,8:51,18:33,2025-07-22
111,111,10:40,18:07,2025-07-22
112,112,7:47,17:06,2025-07-22
113,113,8:57,17:28,2025-07-22
114,114,9:51,17:22,2025-07-22
115,115,10:45,17:47,2025-07-22
116,116,7:05,16:58,2025-07-22
117,117,7:09,18:40,2025-07-22
118,118,10:23,17:50,2025-07-22
119,119,9:47,18:21,2025-07-22
120,120,10:41,17:38,2025-07-22
121,121,10:43,18:15,2025-07-22
122,122,9:37,17:22,2025-07-22
123,123,9:58,17:04,2025-07-22
124,124,8:21,18:34,2025-07-22
125,125,8:21,18:12,2025-07-22
126,126,7:44,17:08,2025-07-22
127,127,8:10,18:26,2025-07-22
128,128,8:29,18:03,2025-07-22
